Type,Name,URL,CRC,Size
FILE,Mattel HyperScan - Games (TOSEC-v2019-04-18_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Mattel/HyperScan/Games/Mattel HyperScan - Games/Mattel HyperScan - Games (TOSEC-v2019-04-18_CM).dat,2869628670,6907
DIRECTORY,Sinclair,,,
DIRECTORY,ZX Spectrum,,,
DIRECTORY,CD,,,
DIRECTORY,Compilations,,,
DIRECTORY,Sinclair ZX Spectrum - CD - Compilations,,,
FILE,Sinclair ZX Spectrum - CD - Compilations (TOSEC-v2017-10-03_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Sinclair/ZX Spectrum/CD/Compilations/Sinclair ZX Spectrum - CD - Compilations/Sinclair ZX Spectrum - CD - Compilations (TOSEC-v2017-10-03_CM).dat,3315503511,1450
DIRECTORY,Bandai,,,
DIRECTORY,Playdia,,,
DIRECTORY,Educational,,,
DIRECTORY,[IMG],,,
DIRECTORY,Bandai Playdia - Educational - [IMG],,,
FILE,Bandai Playdia - Educational - [IMG] (TOSEC-v2013-04-10_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Bandai/Playdia/Educational/[IMG]/Bandai Playdia - Educational - [IMG]/Bandai Playdia - Educational - [IMG] (TOSEC-v2013-04-10_CM).dat,3286577118,4526
DIRECTORY,[ISO],,,
DIRECTORY,Bandai Playdia - Educational - [ISO],,,
FILE,Bandai Playdia - Educational - [ISO] (TOSEC-v2013-10-18_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Bandai/Playdia/Educational/[ISO]/Bandai Playdia - Educational - [ISO]/Bandai Playdia - Educational - [ISO] (TOSEC-v2013-10-18_CM).dat,2740271239,4473
DIRECTORY,Games,,,
DIRECTORY,[IMG],,,
DIRECTORY,Bandai Playdia - Games - [IMG],,,
FILE,Bandai Playdia - Games - [IMG] (TOSEC-v2013-04-10_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Bandai/Playdia/Games/[IMG]/Bandai Playdia - Games - [IMG]/Bandai Playdia - Games - [IMG] (TOSEC-v2013-04-10_CM).dat,334948132,15451
DIRECTORY,[ISO],,,
DIRECTORY,Bandai Playdia - Games - [ISO],,,
FILE,Bandai Playdia - Games - [ISO] (TOSEC-v2013-10-18_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Bandai/Playdia/Games/[ISO]/Bandai Playdia - Games - [ISO]/Bandai Playdia - Games - [ISO] (TOSEC-v2013-10-18_CM).dat,1718927853,9742
DIRECTORY,Pippin @World & Pippin Atmark,,,
DIRECTORY,Applications,,,
DIRECTORY,Bandai Pippin @World & Pippin Atmark - Applications,,,
FILE,Bandai Pippin @World & Pippin Atmark - Applications (TOSEC-v2012-07-06_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Bandai/Pippin @World & Pippin Atmark/Applications/Bandai Pippin @World & Pippin Atmark - Applications/Bandai Pippin @World & Pippin Atmark - Applications (TOSEC-v2012-07-06_CM).dat,200350138,7421
DIRECTORY,Multimedia,,,
DIRECTORY,Bandai Pippin @World & Pippin Atmark - Multimedia,,,
FILE,Bandai Pippin @World & Pippin Atmark - Multimedia (TOSEC-v2012-07-06_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-ISO/Bandai/Pippin @World & Pippin Atmark/Multimedia/Bandai Pippin @World & Pippin Atmark - Multimedia/Bandai Pippin @World & Pippin Atmark - Multimedia (TOSEC-v2012-07-06_CM).dat,4245477630,1181
DIRECTORY,Incredible Technologies,,,
DIRECTORY,Eagle,,,
DIRECTORY,CD,,,
DIRECTORY,Games,,,
DIRECTORY,Incredible Technologies Eagle - CD - Games,,,
